E043DB	Shenzhen ViewAt
2405F5	Integrated Device Sdn. Bhd
3CD92B	HP
9C8E99	HP
B499BA	HP
1CC1DE	HP
3C3556	Cognitec Systems
0050BA	D-Link
00179A	D-Link
18622C	Sagemcom Broadband SAS
7C03D8	Sagemcom Broadband SAS
E8F1B0	Sagemcom Broadband SAS
00F871	DGS Denmark
20BB76	CoL GIOVANNI PAOLO
2C228B	CTR SRL
348AAE	Sagemcom Broadband SAS
BCEC23	Shenzhen Chuangwei-RGB
AC06C7	ServerNet S.r.l
CC46D6	Cisco
48AD08	Huawei
2CAB00	Huawei
00E0FC	Huawei
24DF6A	Huawei
009ACD	Huawei
38F23E	Microsoft Mobile
58AC78	Cisco
907F61	Chicony
28BC18	SourcingOverseas
807ABF	HTC
409F87	Jide
3C5AB4	Google
001A11	Google
D83C69	Shenzhen TINNO Mobile
74AC5F	Qiku Internet Network Scientific
BC83A7	Shenzhen Chuangwei-RGB
000347	Intel
001175	Intel
0013E8	Intel
001302	Intel
E4F89C	Intel
A402B9	Intel
4C3488	Intel
000D0B	Buffalo.Inc
000740	Buffalo.Inc
0024A5	Buffalo.Inc
DCFB02	Buffalo.Inc
F4CE46	HP
001CC4	HP
0025B3	HP
001871	HP
000BCD	HP
000E7F	HP
000F20	HP
00110A	HP
001321	HP
001635	HP
0017A4	HP
000802	HP
90E7C4	HTC
74A78E	zte
D860B0	bioM?rieux Italia S.p.A
8038BC	Huawei
D440F0	Huawei
64A651	Huawei
E8CD2D	Huawei
ACE215	Huawei
EC233D	Huawei
78F5FD	Huawei
80B686	Huawei
10C61F	Huawei
8853D4	Huawei
0C37DC	Huawei
BC7670	Huawei
24DBAC	Huawei
0021E8	Murata Manufacturing
006057	Murata Manufacturing
0007D8	Hitron
84742A	zte
681AB2	zte
E005C5	TP-Link
A0F3C1	TP-Link
8C210A	TP-Link
EC172F	TP-Link
EC888F	TP-Link
14CF92	TP-Link
645601	TP-Link
14CC20	TP-Link
BC4699	TP-Link
0C45BA	Huawei
847778	Cochlear
0453D5	Sysorex Global Holdings
CCA223	Huawei
E8088B	Huawei
60E701	Huawei
000883	HP
C4346B	HP
8CDCD4	HP
3464A9	HP
D4C9EF	HP
A45D36	HP
A0D3C1	HP
40A8F0	HP
6C3BE5	HP
082E5F	HP
28924A	HP
10604B	HP
308D99	HP
0030C1	HP
FC3FDB	HP
4CA161	Rain Bird
7C6193	HTC
001217	Cisco-Linksys
000C41	Cisco-Linksys
000F66	Cisco-Linksys
44E08E	Cisco SPVTG
185933	Cisco SPVTG
E448C7	Cisco SPVTG
24767D	Cisco SPVTG
2CABA4	Cisco SPVTG
006B8E	Shanghai Feixun
AC853D	Huawei
74882A	Huawei
78D752	Huawei
E0247F	Huawei
00464B	Huawei
707BE8	Huawei
548998	Huawei
0819A6	Huawei
3CF808	Huawei
B41513	Huawei
283152	Huawei
DCD2FC	Huawei
0003DD	Comark Interactive Solutions
00107B	Cisco
00906D	Cisco
0090BF	Cisco
005080	Cisco
00E018	ASUS
000C6E	ASUS
001BFC	ASUS
001E8C	ASUS
0015F2	ASUS
002354	ASUS
001FC6	ASUS
60182E	ShenZhen Protruly
F4CFE2	Cisco
501CBF	Cisco
285FDB	Huawei
404D8E	Huawei
781DBA	Huawei
001E10	Huawei
88F031	Cisco
508789	Cisco
381C1A	Cisco
F40F1B	Cisco
BC671C	Cisco
A0ECF9	Cisco
D46D50	Cisco
1CE85D	Cisco
C47295	Cisco
A0554F	Cisco
84B802	Cisco
BCC493	Cisco
001947	Cisco SPVTG
0022CE	Cisco SPVTG
F02929	Cisco
ECE1A9	Cisco
7C69F6	Cisco
C08C60	Cisco
C0255C	Cisco
885A92	Cisco
E4C722	Cisco
C07BBC	Cisco
0090F2	Cisco
00173B	Cisco
00400B	Cisco
006009	Cisco
006047	Cisco
0006C1	Cisco
00E014	Cisco
00E01E	Cisco
ACF2C5	Cisco
84285A	Saffron Solutions
80A1AB	Intellisis
F832E4	ASUS
0010FF	Cisco
34BDC8	Cisco
54A274	Cisco
5897BD	Cisco
046C9D	Cisco
141357	ATP
F44B2A	Cisco SPVTG
3C8CF8	TRENDnet
78D6B2	Toshiba
C04A09	Zhejiang Everbright Equip
F00D5C	JinQianMao
2C081C	OVH
30E090	Linctronix
70BF3E	Charles River Laboratories
